mp;mpomsch;X;Y;gebied;gebiednaam;meetnet;opmerking;krw_type;<>;basis-jaarlijks;beginjaar;bestrijdingsmiddelen;bodemtype (detail);bodemtype (grof);ecokleurenkoers;fysisch-chemisch;gemeente;krw-biologie;landgebruik 2015;meetpuntsoort;naam water;plaatsnaam;publicatie op internet 1;quickscan-vegetatie;type watergang;vistrajecten;vlakdekkende vegetatieopnamen;waterbreedte in m (in het veld geschat);waterbreedte in m (legger);waterdiepte in m (legger);waterlichaamcode;waterlichaamnaam;watertype waterlichaam;zwemwater;long;lat
KOP 0432;;108530;446280;KRIWA;Krimpenerwaard;3;;-;;;1993;;;;;;Gouda;;;Regulier;;Gouda;;;;;;;;;;;;;4,71045668966901;52,0029473373723
KOP 0433;2e sloot west.Kerkweg 130 m vanuit Indamseweterin;107549;440568;KRIWA;Krimpenerwaard;1;;M08;;;1993;;Veraarde bovengrond op diep veen;VEEN;Blauw;1;Krimpenerwaard;;Recreatie;Regulier;Indamsewetering;Berkenwoude;;;Overige watergang;;;8;15;1;NL39_12a;Sloten waterrijk Berkenwoude;M8;;4,69696147931166;51,9515268863036
KOP 0434;Zuidelijke sloot langs Graafkade eerste brug vanaf;107273;440822;KRIWA;Krimpenerwaard;3;;M08;;;1993;;Veraarde bovengrond op diep veen;VEEN;Blauw;;Krimpenerwaard;;Gras;Regulier;Graafwetering Oost;Berkenwoude;;;Overige watergang;;;8;5,6;1;NL39_12a;Sloten waterrijk Berkenwoude;M8;;4,69291165554021;51,9537861257114
KOP 0435;WATERGANG GRAAFKADE Z  2e sloot W brede watergang;107500;440450;KRIWA;Krimpenerwaard;1;;M08;;;1993;;Veraarde bovengrond op diep veen;VEEN;Blauw;1;Krimpenerwaard;;Gras;Regulier;Indamsewetering;Berkenwoude;1;;Overige watergang;;;5;15;1;NL39_12a;Sloten waterrijk Berkenwoude;M8;;4,6962650739037;51,9504621547207
KOP 0436;2e sloot west. van eendkooi ca.60 m zuidelijk van;107050;440550;KRIWA;Krimpenerwaard;3;;M08;;;1993;;Veraarde bovengrond op diep veen;VEEN;Blauw;;Krimpenerwaard;;Gras;Regulier;verbindingssloot Berkenwoudse driehoek;Berkenwoude;;;Overige watergang;;;5;7,5;1;;;;;4,68970584912958;51,9513222859666
KOP 0437;Vanaf brug in Kerkweg kruising met Indamsewetering;107661;440496;KRIWA;Krimpenerwaard;3;;M08;;;1994;;Veraarde bovengrond op diep veen;VEEN;Groen;;Krimpenerwaard;;Gras;Regulier;Indamsewetering;Berkenwoude;;;Overige watergang;;;3;15;1;NL39_12a;Sloten waterrijk Berkenwoude;M8;;4,69860048729537;51,9508893228374
KOP 0438;Hoofdwatergang zuidoostelijk van pand   nummer ...;105830;443620;KRIWA;Krimpenerwaard;3;;-;;;1994;;;;;;Krimpenerwaard;;;Regulier;;Gouderak;;;;;;;;;;;;;4,67152080990587;51,978807714402
KOP 0439;Sloot noordoostelijk van elzenbos,ca 350m. v.a. no;106300;443340;KRIWA;Krimpenerwaard;3;;-;;;1994;;Kleidek op veen;VEEN;Groen;;Krimpenerwaard;;Gras;Regulier;Molenvliet, samenstel van watergangen;Gouderak;;;Overige watergang;;;;40;1,5;;;;;4,67840103396823;51,9763325912067
KOP 0440;Sloot noordelijk van sloot die Elzenbos begrenst.;106450;443340;KRIWA;Krimpenerwaard;3;;-;;;1994;;Kleidek op veen;VEEN;Groen;;Krimpenerwaard;;Gras;Regulier;Molenvliet, samenstel van watergangen;Gouderak;;;Overige watergang;;;;40;1,5;;;;;4,68058404292571;51,9763457225975
KOP 0441;Sloot t.z.v. Zuidbroek t.o. pandnr 133 ca 50m lan;109914;438718;KRIWA;Krimpenerwaard;3;;M08;;;1996;;Veraarde bovengrond op diep veen;VEEN;Blauw;;Krimpenerwaard;;Gras;Regulier;Voorwetering;Bergambacht;;;Overige watergang;;;5;10,3;1;;;;;4,73160425456482;51,9350964221118
