mp;mpomsch;X;Y;gebied;gebiednaam;meetnet;opmerking;krw_type;<>;basis-jaarlijks;beginjaar;bestrijdingsmiddelen;bodemtype (detail);bodemtype (grof);ecokleurenkoers;fysisch-chemisch;gemeente;krw-biologie;landgebruik 2015;meetpuntsoort;naam water;plaatsnaam;publicatie op internet 1;quickscan-vegetatie;type watergang;vistrajecten;vlakdekkende vegetatieopnamen;waterbreedte in m (in het veld geschat);waterbreedte in m (legger);waterdiepte in m (legger);waterlichaamcode;waterlichaamnaam;watertype waterlichaam;zwemwater;long;lat
00669;Watermunt Moordrecht, va bruggetje;105229;444648;SCHIEL;Schieland;1;;-;;;2006;;Veraarde bovengrond op diep veen;VEEN;Groen;1;Zuidplas;;Stedelijk;Regulier;;Moordrecht;;;Hoofdwatergang;;;;5;0,6;;;;;4,66262455027668;51,9879934223454
00670;Klutendreef Moordrecht, bij nr. 27 va brug;105553;445072;SCHIEL;Schieland;1;;-;;;2006;;Veraarde bovengrond op diep veen;VEEN;Groen;1;Zuidplas;;Stedelijk;Regulier;;Moordrecht;;;Overige watergang;;;;4;0,6;;;;;4,66727990121649;51,9918331065992
00671;WATERGANG Z-Dwarsweg tussen 13a&b thv Overslagweg;103902;448030;SCHIEL;Schieland;1;;M08;;;2010;;Veen op ongerijpte klei;VEEN;Blauw;1;Waddinxveen;;Stedelijk;Regulier;;Waddinxveen;1;;Overige watergang;;;4;32;0,6;;;;;4,64280280061841;52,0182687134916
00672;Watergang groenblauwe zone Westergouwe;105649;446049;SCHIEL;Schieland;1;Coordinaten gelijk aan S 46;M08;;;;;;;;1;Zuidplas;;;;;Moordrecht;;;;;;;;;;;;;4,66853680018534;52,0006225140266
00673;Vijver aan de Burgemeester van Dijkesingel vanaf brug;106671;446317;SCHIEL;Schieland;1;;-;;;;;;;;1;Gouda;;;;;Gouda;;;;;;;;;;;;;4,6833806207973;52,0031211172446
00674;Kavelsloot tussen gemaaltje en woonhuis NO van halfverharde;103393;445395;SCHIEL;Schieland;1;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;4,63578529940574;51,9945395014434
00675;Watergang ZO van Oogstpad, huisnr 15;100346;449373;SCHIEL;Schieland;1;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;4,59078879038406;52,0299998763691
00676;Watergang to van Hasseltweg 10;100566;450468;SCHIEL;Schieland;1;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;4,59382002723386;52,0398627199493
00677;Waterhang ZO van Abr. Kroesweg to 14;101045;449923;SCHIEL;Schieland;1;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;4,60088688337222;52,0350114037395
00678;Watergang NW v van Hasseltweg to 26;101045;450946;SCHIEL;Schieland;1;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;4,60072544463584;52,0442055223396
00679;Watergang O v Jan Hendrikspad;101064;448737;SCHIEL;Schieland;1;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;4,60135075621761;52,0243541690129
00680;Watergang ZO van Abr. Kroesweg, to 54b;101650;450537;SCHIEL;Schieland;1;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;4,60960730469165;52,0405882231422
00681;Watergang W v 6e tochtweg, huisnr 3;101724;450824;SCHIEL;Schieland;1;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;4,61064106064342;52,0431747293816
00701;GEMAAL OOSTPOLDER Stoofkade Gouda voor krooshek;106685;447489;SCHIEL;Schieland;1;;M10;;1;1975;;Zanddek op veen op zand;VEEN;Geel;1;Gouda;;Afvoer/gemaal;Regulier;;Gouda;1;;Hoofdwatergang;;;;8;0,8;NL39_10a;t Weegje;M27;;4,683419140387;52,0136557886418
00702;Alphenerwetering bij toegang Weegje tegenover Wilh;106005;448078;SCHIEL;Schieland;1;;M10;;;1975;;Zanddek op veen op zand;VEEN;Geel;1;Waddinxveen;;Gras;Regulier;;Waddinxveen;1;;Hoofdwatergang;;;;8;0,8;NL39_10a;t Weegje;M27;;4,67343029983125;52,0188898321235
00703;ALPHENERWETERING thv golfbaan SHZ O Gouda va brug;107089;445777;SCHIEL;Schieland;1;;-;;;1975;;Veraarde bovengrond op diep veen;VEEN;Blauw;1;Gouda;;Gras;Regulier;;Gouda;1;;Overige watergang;;;;6;0,8;;;;;4,68954310116233;51,9983040502657
00704;SINGEL Pr BEATRIXSTR Mdrecht thv 30 va steiger;105606;444193;SCHIEL;Schieland;1;;M10;;;1975;;Bebouwing;STEDELIJK;Groen;1;Zuidplas;;Stedelijk;Regulier;;Moordrecht;1;1;Hoofdwatergang;;;30;7;0,8;;;;;4,66817814486656;51,9839377325951
00705;T Weegje westzijde van invalidesteiger bij restaur;105471;447638;SCHIEL;Schieland;1;;M27;;;1977;;Zanddek op veen op zand;VEEN;Groen;1;Waddinxveen;;Plassen;Regulier;Ringvaart Zuidplaspolder;Waddinxveen;1;;Overige watergang;;;;26;1,51;NL39_10a;t Weegje;M27;;4,6657150911117;52,0148878924345
00706;Sloot Stoofkade, bij camping noord van toegang;0;0;SCHIEL;Schieland;1;;-;;;1986;;;;;1;;;;Regulier;;;;;Overige watergang;;;;13;0,8;;;;;;
00707;Sloot 2e Moordrechtse Tiendeweg, bij nr.6 noordwes;106743;446625;SCHIEL;Schieland;3;;-;;;1986;;Veraarde bovengrond op diep veen;VEEN;Blauw;;Gouda;;Gras;Regulier;Ringvaart Zuidplaspolder;Gouda;;;Overige watergang;;;;26,6;2,05;;;;;4,68438569908231;52,0058955610865
00708;T WEEGJE midden op plas;105622;447738;SCHIEL;Schieland;1;varen;M27;;1;1989;;Water;OVERIG;Groen;1;Waddinxveen;;Plassen;Regulier;Ringvaart Zuidplaspolder;Waddinxveen;1;;Overige watergang;;;;26;1,51;NL39_10a;t Weegje;M27;;4,66790011506513;52,0158001070057
00709;ALPHENERWETERING St Victorstr va brug bij kerk;105046;449431;SCHIEL;Schieland;1;;M08;;;2001;;Veraarde bovengrond op diep veen;VEEN;Blauw;1;Waddinxveen;;Stedelijk;Regulier;;Waddinxveen;1;;Hoofdwatergang;;;6;5;0,6;;;;;4,65926285921821;52,0309644304315
00710;WATERGANG Rozenplantsoen Moordrecht va vlonder;105964;444814;SCHIEL;Schieland;1;;-;;;2006;;Bebouwing;STEDELIJK;Groen;1;Zuidplas;;Stedelijk;Regulier;Ringvaart Zuidplaspolder;Moordrecht;1;;Overige watergang;;;;23;1,94;;;;;4,673300314356;51,9895507597969
00711;SLOOT t Weegje N Wilhelminakade to 88 2e sloot;105900;448029;SCHIEL;Schieland;1;sloot door het land;-;;;2009;;Zanddek op veen op zand;VEEN;Groen;1;Waddinxveen;;Gras;Regulier;;Waddinxveen;1;;Overige watergang;;;;8;0,8;NL39_10a;t Weegje;M27;;4,67190777374423;52,0184401586248
00801;GEMAAL P D KLEY BERMWEG NadIJ voor krooshek PPA;100999;440438;SCHIEL;Schieland;1;sleutel;M03;;1;1975;;Veraarde bovengrond op diep veen;VEEN;Blauw;1;Zuidplas;;Afvoer/gemaal;Regulier;;Nieuwerkerk aan den IJssel;1;;Overige watergang;;;;8;1;NL39_17a;Polder Prins Alexander;M3;;4,60171102445975;51,9497607573737
00802;Gemaal J.A. Beijerinklaan Bermweg 15 Capelle voor;98483;438227;SCHIEL;Schieland;3;;-;;;1975;;Veraarde bovengrond op diep veen;VEEN;Groen;;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;;;Boezem;;;;10;0,6;;;;;4,56548073696114;51,929639328436
00803;Kralingsetocht zuidzijde Kralingseweg voor duiker;98237;438446;SCHIEL;Schieland;3;;-;;;1975;;Veraarde bovengrond op diep veen;VEEN;Geel;;Rotterdam;;Stedelijk;Regulier;;Rotterdam;;;Overige watergang;;;;5;0,6;;;;;4,56186824785889;51,9315825346473
00804;SCHOLLEVAARTSE TOCHT NadIJ va brug Hoofdweg;100077;441808;SCHIEL;Schieland;1;;-;;;1975;;Veraarde bovengrond op diep veen;VEEN;Blauw;1;Zuidplas;;Stedelijk;Regulier;;Nieuwerkerk aan den IJssel;1;;Hoofdwatergang;;;;8;1;;;;;4,58808183132237;51,9619832921722
00805;Oude Stoopweg Rotterdam tussen A20/spoor vanaf 1e;95287;440273;SCHIEL;Schieland;3;;-;;;1977;;Bebouwing;STEDELIJK;Groen;;Rotterdam;;Stedelijk;Regulier;;Rotterdam;;;Overige watergang;;;;6;0,8;;;;;4,51866235928681;51,9476935794382
00806;WATERGANG KONINGSLAAN RDAM bij duiker Hoofdweg;97001;440151;SCHIEL;Schieland;1;;-;;;1977;;Bebouwing;STEDELIJK;Groen;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;1;;Overige watergang;;;;6;0,8;;;;;4,54361089294233;51,9467785886612
00807;SINGEL PR ALEXANDERLN N-W van A20 voor duiker;97434;440961;SCHIEL;Schieland;1;;-;;;1977;;Bebouwing;STEDELIJK;Geel;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;1;;Hoofdwatergang;;;;9;1;;;;;4,54977244800316;51,9541034176369
00808;Lage Bemaling Alexanderlaan voor bemaling Leningra;97978;439434;SCHIEL;Schieland;3;;-;;;1977;;Veraarde bovengrond op diep veen;VEEN;Geel;;Rotterdam;;Stedelijk;Regulier;;Rotterdam;;;Hoofdwatergang;;;;11;1;;;;;4,55793885687411;51,9404356569257
00809;Scheisloot onderweg Nieuwerkerk, 3e sloot vanaf nr;100696;443064;SCHIEL;Schieland;3;;-;;;1983;;Veraarde bovengrond op diep veen;VEEN;Blauw;;Rotterdam;;Stedelijk;Regulier;Ringvaart Zuidplaspolder;Rotterdam;;;Overige watergang;;;;11;1,49;;;;;4,59688860637374;51,9733324272299
00810;SINGEL Operalaan Schollevaar Vlinderbaan v brug;100097;440724;SCHIEL;Schieland;1;;-;;;1990;;Veraarde bovengrond op diep veen;VEEN;Groen;1;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;1;;Overige watergang;;;;6;0,6;;;;;4,5885461358833;51,9522428235256
00811;SINGEL BURG VOGELAARSGL NadIJ va brug Donizettipad;101347;442140;SCHIEL;Schieland;1;;-;;;1990;;Bebouwing;STEDELIJK;Geel;1;Zuidplas;;Stedelijk;Regulier;;Nieuwerkerk aan den IJssel;1;;Hoofdwatergang;;;;7;0,6;;;;;4,60650657664485;51,9650912270475
00812;RINGVAARTPLAS thv Govert Terlouwstr va steiger;97447;437896;SCHIEL;Schieland;1;;M14;;;1991;;Veraarde bovengrond op diep veen;VEEN;Groen;1;Rotterdam;;Plassen;Regulier;;Rotterdam;1;1;Hoofdwatergang;;;65;8;0,6;;;;;4,55047486340479;51,9265582387205
00813;Ringvaartplas Rotterdam, oostelijk deel vanaf brug;97980;438029;SCHIEL;Schieland;3;;-;;;1991;;Veraarde bovengrond op diep veen;VEEN;Groen;;Rotterdam;;Plassen;Regulier;Ringvaart Polder Pr. Alexander;Rotterdam;;;Overige watergang;;;;14,3;1,5;;;;;4,55820099230837;51,9278084675981
00814;Sloot Pietje Bell, park Prinsenland via Beelstraat;97469;438619;SCHIEL;Schieland;3;;-;;;1996;;Veraarde bovengrond op diep veen;VEEN;Blauw;;Rotterdam;;Stedelijk;Regulier;;Rotterdam;;;Overige watergang;;;;9;0,6;;;;;4,55067370051929;51,9330584489897
00816;Singel langs Nehrusingel bij Ataturkstraat;97974;438641;SCHIEL;Schieland;3;;-;;;1996;;Veraarde bovengrond op diep veen;VEEN;Groen;;Rotterdam;;Stedelijk;Regulier;;Rotterdam;;;Overige watergang;;;;9;0,6;;;;;4,55801226146452;51,9333081863841
00817;Nancy Zeelenbergsingel, noord van Kralingseweg;97074;438194;SCHIEL;Schieland;3;;-;;;1996;;Veraarde bovengrond op diep veen;VEEN;Geel;;Rotterdam;;Stedelijk;Regulier;;Rotterdam;;;Overige watergang;;;;9;0,8;;;;;4,54500240276021;51,9291977801894
00818;Nancy Zeelenbergsingel bij H. Moquettestraat;96877;438983;SCHIEL;Schieland;3;;-;;;1996;;Bebouwing;STEDELIJK;Geel;;Rotterdam;;Stedelijk;Regulier;;Rotterdam;;;Overige watergang;;;;9;0,8;;;;;4,5420050717732;51,9362683191589
00819;SINGEL PRES WILSONWEG bij Currieplaats va brug;96646;441969;SCHIEL;Schieland;1;;M03;;;2002;;Bebouwing;STEDELIJK;Groen;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;1;1;Hoofdwatergang;;;20;15,3;0,6;;;;;4,53813903537632;51,9630805420108
00820;WATERGANG PIET vd POLSGL va brug Dirk v Prooijesgl;94926;440569;SCHIEL;Schieland;1;;-;;;2003;;Veraarde bovengrond op diep veen;VEEN;Groen;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;1;;Overige watergang;;;;5;0,6;;;;;4,51336033804039;51,9503149440984
00821;GROTE VIJVER Schollebos thv 2e inham via fietspad;99451;440022;SCHIEL;Schieland;1;;-;;;2003;;Veraarde bovengrond op diep veen;VEEN;Groen;1;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;1;;Hoofdwatergang;;;;11;1;;;;;4,57926339073635;51,9458694197012
00822;WATERGANG Rozensingel langs Bermweg Capelle;99012;438737;SCHIEL;Schieland;1;;-;;;2003;;Bebouwing;STEDELIJK;Geel;1;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;1;;Hoofdwatergang;;;;4;0,6;;;;;4,57308826716881;51,9342764567051
00824;WATERGANG CAPELSEWEG Z-O van A 20 bij oprit;98398;441037;SCHIEL;Schieland;1;;-;;;2003;;Bebouwing;STEDELIJK;Geel;1;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;1;;Hoofdwatergang;;;;19;0,6;;;;;4,56378213059689;51,9548854755437
00825;Watergang Floris Burgwal, vanaf brug Halewijn;99422;440490;SCHIEL;Schieland;3;;-;;;2003;;Veen op ongerijpte klei;VEEN;Geel;;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;;;Overige watergang;;;;7;0,6;;;;;4,57876591750814;51,9500726664162
00826;Watergang Zwaarddans, brug voor duiker Vrijheidsda;98681;440649;SCHIEL;Schieland;3;;-;;;2003;;Veraarde bovengrond op diep veen;VEEN;Geel;;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;;;Hoofdwatergang;;;;7;0,6;;;;;4,56796231510629;51,9514270893726
00827;Nieuwerkerkse Tocht via Rigoletto achter 113 va br;99955;440088;SCHIEL;Schieland;1;;M03;;;2008;;Veraarde bovengrond op diep veen;VEEN;Groen;1;Capelle aan den Ijssel;;Recreatie;Regulier;;Capelle aan den IJssel;1;;Overige watergang;;;;17;1,3;NL39_17a;Polder Prins Alexander;M3;;4,58658261987959;51,9465127276412
00828;GEMAAL OMMOORD vo krooshek via Varenpad/Rottekade;95768;442038;SCHIEL;Schieland;1;sleutel;-;;1;2008;;Veraarde bovengrond op diep veen;VEEN;Blauw;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;1;;Hoofdwatergang;;;;20;1;;;;;4,52535340195973;51,9636077681364
00829;WATERGANG Prinsenlaan oost v viaduct A16 vo duiker;96490;439082;SCHIEL;Schieland;1;voor duiker;-;;;2008;;Bebouwing;STEDELIJK;Blauw;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;1;;Overige watergang;;;;7;0,8;;;;;4,53636123551072;51,9371174886406
00830;WATERGANG Prinsenpark va brug via Michelangelostr;97471;438842;SCHIEL;Schieland;1;;-;;;2008;;Veraarde bovengrond op diep veen;VEEN;Groen;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;1;;Overige watergang;;;;9;0,6;;;;;4,55066545856886;51,9350628585178
00851;TOEVOERSLOOT WFOPPENWEG/S Bontebalpd vo overstort;97905;442552;SCHIEL;Schieland;1;;-;;;2003;;Bebouwing;STEDELIJK;Blauw;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;1;;Hoofdwatergang;;;;3;0,5;;;;;4,55635891823727;51,9684510072697
00852;Hoofdweg tocht bij Ichtusklin. pad ten w. van klin;99630;441867;SCHIEL;Schieland;1;;-;;;;;Veraarde bovengrond op diep veen;VEEN;Blauw;1;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;;;Hoofdwatergang;;;;8;1;;;;;4,58156914663843;51,9624691909258
00853;Singel Capelseweg/Rijksweg A20, nw van kruising;98240;441255;SCHIEL;Schieland;1;;-;;;;;Veraarde bovengrond op diep veen;VEEN;Groen;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;;;Hoofdwatergang;;;;8;0,6;;;;;4,56144780904277;51,9568286255388
00855;Noordelijke kavelsl. bourgignon van parallelweg no;0;0;SCHIEL;Schieland;1;;-;;;;;;;;1;;;;Regulier;;;;;Overige watergang;;;;13;0,8;;;;;;
00856;Sloot Schollevaartseweg zuid van begraafplaats Sch;100078;441281;SCHIEL;Schieland;1;;-;;;;;Veraarde bovengrond op diep veen;VEEN;Groen;1;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;;;Overige watergang;;;;8;0,6;;;;;4,58818068863474;51,9572469828476
00857;Nieuwerkerkse Tocht, Schollevaartseweg vanaf brug;100609;440480;SCHIEL;Schieland;1;;-;;;;;Veraarde bovengrond op diep veen;VEEN;Groen;1;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;;;Hoofdwatergang;;;;17;1,3;;;;;4,5960319975884;51,9501002083785
00858;Middeltocht Rotterdam van brug Hoofdweg bij Ooster;97910;440499;SCHIEL;Schieland;1;;-;;;;;Veen op ongerijpte klei;VEEN;Geel;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;;;Overige watergang;;;;8;0,6;;;;;4,55677306727431;51,9500003166968
00859;LAGE BEMALING ALEXANDERLN va brug Sjanghailaan;97978;439434;SCHIEL;Schieland;1;;M10;;;2003;;Veraarde bovengrond op diep veen;VEEN;Geel;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;1;;Hoofdwatergang;;;13;11;1;;;;;4,55793885687411;51,9404356569257
00860;Sloot n van spoor Capelseweg bij fietspad Capelsew;98441;440843;SCHIEL;Schieland;1;;-;;;;;Bebouwing;STEDELIJK;Groen;1;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;;;Overige watergang;;;;19;0,6;;;;;4,56443956568571;51,9531462866664
00861;WATERGANG Lauwersmeer va brug to Grote Wielen;99163;442368;SCHIEL;Schieland;1;;-;;;2006;;Veraarde bovengrond op diep veen;VEEN;Geel;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;1;;Overige watergang;;;;14;0,6;;;;;4,57469343907801;51,9669251769885
00862;WATERGANG Istanboeldreef Rdam to 20 bij Toulondr;98402;439998;SCHIEL;Schieland;1;;-;;;2006;;Veraarde bovengrond op diep veen;VEEN;Groen;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;1;;Hoofdwatergang;;;;7;0,8;;;;;4,56401152355862;51,9455479119458
00863;Dreessingen Rotterdam, va brug to Schermerhornstr.;97883;438822;SCHIEL;Schieland;1;;-;;;2006;;Veraarde bovengrond op diep veen;VEEN;Groen;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;;;Hoofdwatergang;;;;9;0,6;;;;;4,55665912821266;51,9349255790401
00901;Gemaal Esse, Gans en Blaardorp, voor krooshek;103640;440852;SCHIEL;Schieland;3;;M08;;;1975;;Bebouwing;STEDELIJK;Groen;;Zuidplas;;Gras;Regulier;;Nieuwerkerk aan den IJssel;;;Overige watergang;;;;3;0,5;NL39_11a;Sloten waterrijk EGB;M8;;4,64006156741334;51,9537319151165
00902;De Mient/s-Gravenweg Nieuwerkerk vanaf brug voor;102028;440884;SCHIEL;Schieland;1;;M08;;;1975;;Veraarde bovengrond op diep veen;VEEN;Blauw;1;Zuidplas;;Gras;Regulier;;Nieuwerkerk aan den IJssel;;;Hoofdwatergang;;;;3;0,6;NL39_11a;Sloten waterrijk EGB;M8;;4,61660863381791;51,9538682186325
00903;Molenwetering Hitlandselaan van brug bij parkeerpl;103233;441474;SCHIEL;Schieland;3;;M08;;;1975;;Klei op veen;KLEI;Geel;;Zuidplas;;Recreatie;Regulier;;Nieuwerkerk aan den IJssel;;;Overige watergang;;;;8;1;NL39_11a;Sloten waterrijk EGB;M8;;4,63404759267034;51,9592844280177
00904;2e Scheisloot zuid van Hitlandselaan, Hitland;0;0;SCHIEL;Schieland;1;;-;;;1983;;;;;1;;;;Regulier;;;;;Overige watergang;;;;13;0,8;;;;;;
00905;Sloot s-Gravenweg Nieuwerkerk noord van weg, oost;101731;440598;SCHIEL;Schieland;3;;-;;;1987;;Veraarde bovengrond op diep veen;VEEN;Blauw;;Zuidplas;;Stedelijk;Regulier;;Nieuwerkerk aan den IJssel;;;Overige watergang;;;;5;0,8;;;;;4,61233285315795;51,9512693954064
00906;Sloot s-Gravenweg zuidzijde 2e sloot west van num;101749;440524;SCHIEL;Schieland;3;;M08;;;1987;;Veraarde bovengrond op diep veen;VEEN;Geel;;Zuidplas;;Gras;Regulier;;Nieuwerkerk aan den IJssel;;;Hoofdwatergang;;;;5;0,8;NL39_11a;Sloten waterrijk EGB;M8;;4,61260613780265;51,9506060417894
00907;Molenwetering Nieuwerkerk via s-Gravenweg zuidoos;102664;440373;SCHIEL;Schieland;1;;M08;;;1989;;Kleidek op veen;VEEN;Geel;1;Zuidplas;;Gras;Regulier;;Nieuwerkerk aan den IJssel;;;Hoofdwatergang;;;;17;1,3;NL39_11a;Sloten waterrijk EGB;M8;;4,62593773378718;51,9493358239536
00908;GEMAAL HITLAND bij Groenedijk vo krooshek;102205;438884;SCHIEL;Schieland;1;sleutel;-;;1;1989;;Bebouwing;STEDELIJK;Blauw;1;Zuidplas;;Gras;Regulier;;Nieuwerkerk aan den IJssel;1;;Hoofdwatergang;;;;8;1,3;;;;;4,61949059837064;51,9359099308484
00909;Singel Hitland bij 2e brug vanaf gemaal Hitland;101892;439215;SCHIEL;Schieland;1;;M08;;;1993;;Kleidek op veen;VEEN;Geel;1;Zuidplas;;Gras;Regulier;;Nieuwerkerk aan den IJssel;;;Hoofdwatergang;;;;8;1,3;NL39_11a;Sloten waterrijk EGB;M8;;4,61488839514616;51,9388550108581
00910;DERDE WATERGANG De Mient/Molenwetering ZO v pad;102784;440378;SCHIEL;Schieland;1;;M08;;;2008;;Kleidek op veen;VEEN;Blauw;1;Zuidplas;;Gras;Regulier;;Nieuwerkerk aan den IJssel;1;;Overige watergang;;;;7;0,8;NL39_11a;Sloten waterrijk EGB;M8;;4,62768231395798;51,9493920470468
00911;SLOOT Hitlandselaan inrit volkstuinen sloot N;102926;441696;SCHIEL;Schieland;1;sloot noord van de tuinen;M08;;;2009;;Klei op veen;KLEI;Groen;1;Zuidplas;;Recreatie;Regulier;;Nieuwerkerk aan den IJssel;1;;Overige watergang;;;5;9;1;NL39_11a;Sloten waterrijk EGB;M8;;4,62954776426256;51,9612509836775
00912;HFDWATERGANG BLAARDORPSEWEG via pad va brug;101553;439867;SCHIEL;Schieland;1;;M08;;;2010;;Kleidek op veen;VEEN;Groen;1;Zuidplas;;Recreatie;Regulier;;Nieuwerkerk aan den IJssel;1;;Hoofdwatergang;;;20;13;1;NL39_11a;Sloten waterrijk EGB;M8;;4,60985756409286;51,9446824132096
00913;Nieuw Polder EGB tussen groenendijk 277 en 279;102902;439251;SCHIEL;Schieland;1;;-;;;2012;;Klei op veen;KLEI;Blauw;1;Zuidplas;;Gras;Regulier;;Nieuwerkerk aan den IJssel;;;Overige watergang;;;;3;0,5;;;;;4,62956945779461;51,9392741134705
00914;Nieuw Polder EGB tussen s gravenweg 63 en 65;102440;441253;SCHIEL;Schieland;1;;M08;;;2012;;Kleidek op veen;VEEN;Groen;1;Zuidplas;;Gras;Regulier;;Nieuwerkerk aan den IJssel;;;Overige watergang;;;;3;0,6;NL39_11a;Sloten waterrijk EGB;M8;;4,62254508613405;51,9572237413939
01001;GEMAAL OOSTGAARDE Zuiderbreedte vo krooshek;102077;438653;SCHIEL;Schieland;1;sleutel;-;;1;1977;;Bebouwing;STEDELIJK;Geel;1;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;1;;Overige watergang;;;;15;0,9;;;;;4,61766502659586;51,9338216340915
01002;GEMAAL MIDDELWATERING Dorpsstraat vo krooshek;99925;437400;SCHIEL;Schieland;1;sleutel;-;;1;1977;;Bebouwing;STEDELIJK;Blauw;1;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;1;;Hoofdwatergang;;;;8;0,8;;;;;4,58657697976431;51,9223513021877
01003;SINGEL JACOB v RUYSDAELSGN va brug Reigerlaan;99795;437931;SCHIEL;Schieland;1;;M10;;;1977;;Bebouwing;STEDELIJK;Blauw;1;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;1;1;Hoofdwatergang;;;8;8;0,9;;;;;4,5846021118782;51,9271107945875
01004;Algeraweg voor duiker Algeraweg via fietspad;98830;437161;SCHIEL;Schieland;3;;-;;;1977;;Klei op veen;KLEI;Groen;;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;;;Hoofdwatergang;;;;9;0,9;;;;;4,57069951220959;51,9200938022704
01005;Singel Hollandsdiep bij Atolpad achter Terp van af;101126;439065;SCHIEL;Schieland;3;;-;;;1977;;Bebouwing;STEDELIJK;Geel;;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;;;Hoofdwatergang;;;;15;0,9;;;;;4,6037734670319;51,9374331893893
01006;DWARSSLOOT s-Gravenweg Capelle to nr 255;99950;438955;SCHIEL;Schieland;1;ten oosten van de witte hekken;-;;;2009;;Bebouwing;STEDELIJK;Groen;1;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;1;;Overige watergang;;;;3;0,9;;;;;4,58669141136872;51,9363293815318
01007;SINGEL achter Verdistraat va duiker v Beethovenln;97875;436590;SCHIEL;Schieland;1;;M03;;;1992;;Klei op veen;KLEI;Geel;1;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;1;1;Hoofdwatergang;;;9;11;0,9;;;;;4,55691354762606;51,9148647059995
01008;GEMAAL AQUARIVIA RiviumOostlaan vo krooshek;97241;435942;SCHIEL;Schieland;1;sleutel;-;;1;1997;;Bebouwing;STEDELIJK;Blauw;1;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;1;;Overige watergang;;;;11;0,9;;;;;4,54780830527715;51,908975369254
01009;WATERGANG AvRIJCKEVORSELWEG inham bij Wiekslag;100200;438973;SCHIEL;Schieland;1;;-;;;2003;;Bebouwing;STEDELIJK;Geel;1;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;1;;Hoofdwatergang;;;;10;0,9;;;;;4,59032358780721;51,9365158501717
01010;SINGEL FASCINATIO to rotonde kunstwerk Solislaan;97161;436822;SCHIEL;Schieland;1;;-;;;2003;;Bebouwing;STEDELIJK;Groen;1;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;1;;Overige watergang;;;;13;1;;;;;4,54649790368426;51,9168760374986
01011;SINGEL KEERKRING via Atolpad bij viaduct;101307;438777;SCHIEL;Schieland;1;;-;;;2003;;Bebouwing;STEDELIJK;Geel;1;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;1;;Hoofdwatergang;;;;15;0,9;;;;;4,60645030200458;51,9348622808595
