mp;mpomsch;X;Y;gebied;gebiednaam;meetnet;opmerking;krw_type;<>;Basis-jaarlijks;Beginjaar;Bestrijdingsmiddelen;Bodemtype (detail);Bodemtype (grof);Ecokleurenkoers;Fysisch-chemisch;Gemeente;KRW-biologie;Landgebruik 2015;Meetpuntsoort;Naam water;Plaatsnaam;Publicatie op internet 1;Quickscan-vegetatie;Type watergang;Vistrajecten;Vlakdekkende vegetatieopnamen;Waterbreedte in m (in het veld geschat);Waterbreedte in m (legger);Waterdiepte in m (legger);Waterlichaamcode;Waterlichaamnaam;Watertype waterlichaam;Zwemwater
KP 25;Kralingse Plas 25;95365;439354;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;10;0,8;NL39_08a;Kralingse Plas;M14;
KP 26;Kralingse Plas 26;95271;439410;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;10;0,8;NL39_08a;Kralingse Plas;M14;
KP 27;Kralingse Plas 27;95205;439437;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,8;NL39_08a;Kralingse Plas;M14;
KP 28;Kralingse Plas 28;95176;439462;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,8;NL39_08a;Kralingse Plas;M14;
KP 29;Kralingse Plas 29;95123;439500;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,8;NL39_08a;Kralingse Plas;M14;
KP 3;Kralingse Plas 3;94768;438569;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;Toevoerkanaal;Rotterdam;;;Overige watergang;;1;;25;2,65;NL39_08a;Kralingse Plas;M14;
KP 30;Kralingse Plas 30;95074;439541;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,8;NL39_08a;Kralingse Plas;M14;
KP 31;Kralingse Plas 31;95041;439540;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,8;NL39_08a;Kralingse Plas;M14;
KP 32;Kralingse Plas 32;94980;439575;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,8;NL39_08a;Kralingse Plas;M14;
KP 33;Kralingse Plas 33;94926;439600;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,8;NL39_08a;Kralingse Plas;M14;
KP 34;Kralingse Plas 34;94905;439591;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,8;NL39_08a;Kralingse Plas;M14;
KP 35;Kralingse Plas 35;94882;439560;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,8;NL39_08a;Kralingse Plas;M14;
KP 36;Kralingse Plas 36;94862;439525;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,8;NL39_08a;Kralingse Plas;M14;
KP 37;Kralingse Plas 37;94826;439490;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,8;NL39_08a;Kralingse Plas;M14;
KP 38;Kralingse Plas 38;94782;439456;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,8;NL39_08a;Kralingse Plas;M14;
KP 39;Kralingse Plas 39;94750;439423;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,8;NL39_08a;Kralingse Plas;M14;
KP 4;Kralingse Plas 4;94860;438486;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;7;0,8;NL39_08a;Kralingse Plas;M14;
KP 40;Kralingse Plas 40;94650;439319;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,8;NL39_08a;Kralingse Plas;M14;
KP 41;Kralingse Plas 41;94627;439259;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,8;NL39_08a;Kralingse Plas;M14;
KP 42;Kralingse Plas 42;94608;439193;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;Toevoerkanaal;Rotterdam;;;Overige watergang;;1;;25;2,65;NL39_08a;Kralingse Plas;M14;
KP 43;Kralingse Plas 43;94580;439080;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;Toevoerkanaal;Rotterdam;;;Overige watergang;;1;;25;2,65;NL39_08a;Kralingse Plas;M14;
KP 44;Kralingse Plas 44;94630;439148;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;Toevoerkanaal;Rotterdam;;;Overige watergang;;1;;25;2,65;NL39_08a;Kralingse Plas;M14;
KP 45;Kralingse Plas 45;94695;439193;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;Toevoerkanaal;Rotterdam;;;Overige watergang;;1;;25;2,65;NL39_08a;Kralingse Plas;M14;
KP 46;Kralingse Plas 46;94610;439040;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;Toevoerkanaal;Rotterdam;;;Overige watergang;;1;;25;2,65;NL39_08a;Kralingse Plas;M14;
KP 47;Kralingse Plas 47;94580;438983;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;Toevoerkanaal;Rotterdam;;;Overige watergang;;1;;25;2,65;NL39_08a;Kralingse Plas;M14;
KP 48;Kralingse Plas 48;94565;438940;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;Toevoerkanaal;Rotterdam;;;Overige watergang;;1;;25;2,65;NL39_08a;Kralingse Plas;M14;
KP 49;Kralingse Plas 49;94540;438959;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;Toevoerkanaal;Rotterdam;;;Overige watergang;;1;;25;2,65;;;;
KP 5;Kralingse Plas 5;94952;438408;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;7;0,8;NL39_08a;Kralingse Plas;M14;
KP 50;Kralingse Plas 50;94530;438900;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;Toevoerkanaal;Rotterdam;;;Overige watergang;;1;;25;2,65;NL39_08a;Kralingse Plas;M14;
KP 51;Kralingse Plas 51;94516;438825;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;Toevoerkanaal;Rotterdam;;;Overige watergang;;1;;25;2,65;NL39_08a;Kralingse Plas;M14;
KP 52;Kralingse Plas 52;94484;438780;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;Toevoerkanaal;Rotterdam;;;Overige watergang;;1;;25;2,65;NL39_08a;Kralingse Plas;M14;
KP 53;Kralingse Plas 53;94460;438758;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;Toevoerkanaal;Rotterdam;;;Overige watergang;;1;;25;2,65;NL39_08a;Kralingse Plas;M14;
KP 54;Kralingse Plas 54;94420;438774;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;Toevoerkanaal;Rotterdam;;;Overige watergang;;1;;25;2,65;NL39_08a;Kralingse Plas;M14;
KP 55;Kralingse Plas 55;94370;438790;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;Toevoerkanaal;Rotterdam;;;Overige watergang;;1;;25;2,65;NL39_08a;Kralingse Plas;M14;
KP 56;Kralingse Plas 56;94300;438794;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;Toevoerkanaal;Rotterdam;;;Overige watergang;;1;;25;2,65;NL39_08a;Kralingse Plas;M14;
KP 57;Kralingse Plas 57;94325;438780;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;Toevoerkanaal;Rotterdam;;;Overige watergang;;1;;25;2,65;NL39_08a;Kralingse Plas;M14;
KP 58;Kralingse Plas 58;94380;438764;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;Toevoerkanaal;Rotterdam;;;Overige watergang;;1;;25;2,65;NL39_08a;Kralingse Plas;M14;
KP 59;Kralingse Plas 59;94440;438730;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;Toevoerkanaal;Rotterdam;;;Overige watergang;;1;;25;2,65;NL39_08a;Kralingse Plas;M14;
KP 6;Kralingse Plas 6;94999;438446;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;7;0,8;NL39_08a;Kralingse Plas;M14;
KP 60;Kralingse Plas 60;94528;438684;SCHIEL;Schieland;1;;M14;;;2010;;Bebouwing;STEDELIJK;Groen;;Rotterdam;;;Vlakdekkend;Toevoerkanaal;Rotterdam;;;Overige watergang;;1;;25;2,65;NL39_08a;Kralingse Plas;M14;
KP 61;Kralingse Plas 61;94630;438695;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;Toevoerkanaal;Rotterdam;;;Overige watergang;;1;;25;2,65;NL39_08a;Kralingse Plas;M14;
KP 62;Kralingse Plas 62;94728;438746;SCHIEL;Schieland;1;;M14;;;2010;;Bebouwing;STEDELIJK;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;7;0,8;;;;
KP 63;Kralingse Plas 63;94814;438799;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;Toevoerkanaal;Rotterdam;;;Overige watergang;;1;;25;2,65;NL39_08a;Kralingse Plas;M14;
KP 64;Kralingse Plas 64;94913;438857;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;Toevoerkanaal;Rotterdam;;;Overige watergang;;1;;25;2,65;NL39_08a;Kralingse Plas;M14;
KP 65;Kralingse Plas 65;95009;438921;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;Toevoerkanaal;Rotterdam;;;Overige watergang;;1;;25;2,65;NL39_08a;Kralingse Plas;M14;
KP 66;Kralingse Plas 66;95100;438975;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;3;0,6;NL39_08a;Kralingse Plas;M14;
KP 67;Kralingse Plas 67;95181;439027;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;3;0,6;NL39_08a;Kralingse Plas;M14;
KP 68;Kralingse Plas 68;95269;439074;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;3;0,6;NL39_08a;Kralingse Plas;M14;
KP 69;Kralingse Plas 69;95373;439128;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;3;0,6;NL39_08a;Kralingse Plas;M14;
KP 7;Kralingse Plas 7;95056;438397;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;7;0,8;NL39_08a;Kralingse Plas;M14;
KP 70;Kralingse Plas 70;95440;439142;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;3;0,6;NL39_08a;Kralingse Plas;M14;
KP 71;Kralingse Plas 71;95463;439080;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;3;0,6;NL39_08a;Kralingse Plas;M14;
KP 72;Kralingse Plas 72;95464;438994;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;3;0,6;NL39_08a;Kralingse Plas;M14;
KP 73;Kralingse Plas 73;95452;438917;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;3;0,6;NL39_08a;Kralingse Plas;M14;
KP 74;Kralingse Plas 74;95428;438830;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;3;0,6;NL39_08a;Kralingse Plas;M14;
KP 75;Kralingse Plas 75;95400;438750;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;3;0,6;NL39_08a;Kralingse Plas;M14;
KP 76;Kralingse Plas 76;95370;438675;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;7;0,8;NL39_08a;Kralingse Plas;M14;
KP 77;Kralingse Plas 77;95336;438605;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;7;0,8;NL39_08a;Kralingse Plas;M14;
KP 78;Kralingse Plas 78;95310;438516;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;7;0,8;NL39_08a;Kralingse Plas;M14;
KP 79;Kralingse Plas 79;95300;438580;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;7;0,8;NL39_08a;Kralingse Plas;M14;
KP 8;Kralingse Plas 8;95068;438281;SCHIEL;Schieland;1;;M14;;;2010;;Bebouwing;STEDELIJK;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;7;0,8;NL39_08a;Kralingse Plas;M14;
KP 80;Kralingse Plas 80;95269;438718;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;7;0,8;NL39_08a;Kralingse Plas;M14;
KP 81;Kralingse Plas 81;95245;438860;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;3;0,6;NL39_08a;Kralingse Plas;M14;
KP 82;Kralingse Plas 82;95237;438974;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;3;0,6;NL39_08a;Kralingse Plas;M14;
KP 83;Kralingse Plas 83;95212;439104;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;3;0,6;NL39_08a;Kralingse Plas;M14;
KP 84;Kralingse Plas 84;95167;439228;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;3;0,6;NL39_08a;Kralingse Plas;M14;
KP 85;Kralingse Plas 85;95125;439331;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,8;NL39_08a;Kralingse Plas;M14;
KP 86;Kralingse Plas 86;95107;439410;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,8;NL39_08a;Kralingse Plas;M14;
KP 87;Kralingse Plas 87;95060;439465;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,8;NL39_08a;Kralingse Plas;M14;
KP 88;Kralingse Plas 88;94973;439475;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,8;NL39_08a;Kralingse Plas;M14;
KP 89;Kralingse Plas 89;94890;439469;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,8;NL39_08a;Kralingse Plas;M14;
KP 9;Kralingse Plas 9;95161;438358;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;7;0,8;NL39_08a;Kralingse Plas;M14;
KP 90;Kralingse Plas 90;94830;439450;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,8;NL39_08a;Kralingse Plas;M14;
KP 91;Kralingse Plas 91;94803;439442;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,8;NL39_08a;Kralingse Plas;M14;
KP 92;Kralingse Plas 92;94769;439372;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,8;NL39_08a;Kralingse Plas;M14;
KP 93;Kralingse Plas 93;94750;439320;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,8;NL39_08a;Kralingse Plas;M14;
KP 94;Kralingse Plas 94;94733;439261;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,8;NL39_08a;Kralingse Plas;M14;
KP 95;Kralingse Plas 95;94751;439271;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,8;NL39_08a;Kralingse Plas;M14;
KP 96;Kralingse Plas 96;94808;439324;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,8;NL39_08a;Kralingse Plas;M14;
KP 97;Kralingse Plas 97;94855;439387;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,8;NL39_08a;Kralingse Plas;M14;
KP 98;Kralingse Plas 98;94900;439492;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,8;NL39_08a;Kralingse Plas;M14;
KP 99;Kralingse Plas 99;94910;439431;SCHIEL;Schieland;1;;M14;;;2010;;Water;OVERIG;Groen;;Rotterdam;;;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,8;NL39_08a;Kralingse Plas;M14;
KP-06-EL10;Kralingse Plas 2006 traject 10 - elektro;0;0;SCHIEL;Schieland;3;Coordinaten niet vastgelegd;M14;;;;;;;;;;;;;;;;;;;;;;;;;;
KP-06-EL11;Kralingse Plas 2006 traject 11 - elektro;0;0;SCHIEL;Schieland;3;Coordinaten niet vastgelegd;M14;;;;;;;;;;;;;;;;;;;;;;;;;;
KP-06-EL12;Kralingse Plas 2006 traject 12 - elektro;0;0;SCHIEL;Schieland;3;Coordinaten niet vastgelegd;M14;;;;;;;;;;;;;;;;;;;;;;;;;;
KP-06-EL13;Kralingse Plas 2006 traject 13 - elektro;0;0;SCHIEL;Schieland;3;Coordinaten niet vastgelegd;M14;;;;;;;;;;;;;;;;;;;;;;;;;;
KP-06-EL9;Kralingse Plas 2006 traject 9 - elektro;0;0;SCHIEL;Schieland;3;Coordinaten niet vastgelegd;M14;;;;;;;;;;;;;;;;;;;;;;;;;;
KP-06-SK1;Kralingse Plas 2006 traject 1 - stortkuil;0;0;SCHIEL;Schieland;3;Coordinaten niet vastgelegd;M14;;;;;;;;;;;;;;;;;;;;;;;;;;
KP-06-SK2;Kralingse Plas 2006 traject 2 - stortkuil;0;0;SCHIEL;Schieland;3;Coordinaten niet vastgelegd;M14;;;;;;;;;;;;;;;;;;;;;;;;;;
KP-06-SK3;Kralingse Plas 2006 traject 3 - stortkuil;0;0;SCHIEL;Schieland;3;Coordinaten niet vastgelegd;M14;;;;;;;;;;;;;;;;;;;;;;;;;;
KP-06-SK4;Kralingse Plas 2006 traject 4 - stortkuil;0;0;SCHIEL;Schieland;3;Coordinaten niet vastgelegd;M14;;;;;;;;;;;;;;;;;;;;;;;;;;
KP-06-ZE5;Kralingse Plas 2006 traject 5 - zegen;0;0;SCHIEL;Schieland;3;Coordinaten niet vastgelegd;M14;;;;;;;;;;;;;;;;;;;;;;;;;;
KP-06-ZE6;Kralingse Plas 2006 traject 6 - zegen;0;0;SCHIEL;Schieland;3;Coordinaten niet vastgelegd;M14;;;;;;;;;;;;;;;;;;;;;;;;;;
KP-06-ZE7;Kralingse Plas 2006 traject 7 - zegen;0;0;SCHIEL;Schieland;3;Coordinaten niet vastgelegd;M14;;;;;;;;;;;;;;;;;;;;;;;;;;
KP-06-ZE8;Kralingse Plas 2006 traject 8 - zegen;0;0;SCHIEL;Schieland;3;Coordinaten niet vastgelegd;M14;;;;;;;;;;;;;;;;;;;;;;;;;;
KP-07-SK1;Kralingse Plas 2007 traject 1 - stortkuil;0;0;SCHIEL;Schieland;3;;M14;;;;;;;;;;;;;;;;;;;;;;;;;;
KP-07-SK2;Kralingse Plas 2007 traject 2 - stortkuil;0;0;SCHIEL;Schieland;3;;M14;;;;;;;;;;;;;;;;;;;;;;;;;;
KP-07-SK3;Kralingse Plas 2007 traject 3 - stortkuil;0;0;SCHIEL;Schieland;3;;M14;;;;;;;;;;;;;;;;;;;;;;;;;;
KP-07-SK4;Kralingse Plas 2007 traject 4 - stortkuil;0;0;SCHIEL;Schieland;3;;M14;;;;;;;;;;;;;;;;;;;;;;;;;;
KP-09-SK1;Kralingse Plas 2009 traject 1 - stortkuil;94982;439411;SCHIEL;Schieland;3;;-;;;;;;;;;;;;;;;;;;;;;;;;;;
KP-10-EL16;Kralingse Plas 2010 traject 16 - elektro;0;0;SCHIEL;Schieland;3;;M14;;;;;;;;;;;;;;;;;;1;;;;;;;;
KP-10-EL17;Kralingse Plas 2010 traject 17 - elektro;95518;438413;SCHIEL;Schieland;3;;M14;;;;;Bebouwing;STEDELIJK;;;Rotterdam;;;;;Rotterdam;;;Overige watergang;1;;;7;0,8;NL39_08a;Kralingse Plas;M14;
KP-10-EL5;Kralingse Plas 2010 traject 5 - elektro;95186;439447;SCHIEL;Schieland;3;;M14;;;;;Water;OVERIG;;;Rotterdam;;;;;Rotterdam;;;Overige watergang;1;;;9;0,8;NL39_08a;Kralingse Plas;M14;
KP-10-EL6;Kralingse Plas 2010 traject 6 - elektro;94492;439025;SCHIEL;Schieland;3;;M14;;;;;Bebouwing;STEDELIJK;;;Rotterdam;;;;Toevoerkanaal;Rotterdam;;;Overige watergang;1;;;25;2,65;NL39_08a;Kralingse Plas;M14;
KP-10-EL7;Kralingse Plas 2010 traject 7 - elektro;94758;438585;SCHIEL;Schieland;3;;M14;;;;;Bebouwing;STEDELIJK;;;Rotterdam;;;;Toevoerkanaal;Rotterdam;;;Overige watergang;1;;;25;2,65;NL39_08a;Kralingse Plas;M14;
KP-10-EL8;Kralingse Plas 2010 traject 8 - elektro;95472;438634;SCHIEL;Schieland;3;;M14;;;;;Water;OVERIG;;;Rotterdam;;;;;Rotterdam;;;Overige watergang;1;;;3;0,6;NL39_08a;Kralingse Plas;M14;
KP-10-SK1;Kralingse Plas 2010 traject 1 - stortkuil;95247;438467;SCHIEL;Schieland;3;;M14;;;;;Water;OVERIG;;;Rotterdam;;;;;Rotterdam;;;Overige watergang;1;;;7;0,8;NL39_08a;Kralingse Plas;M14;
KP-10-SK10;Kralingse Plas 2010 traject 10 - stortkuil;95220;438508;SCHIEL;Schieland;3;;M14;;;;;Water;OVERIG;;;Rotterdam;;;;;Rotterdam;;;Overige watergang;1;;;7;0,8;NL39_08a;Kralingse Plas;M14;
KP-10-SK11;Kralingse Plas 2010 traject 11 - stortkuil;94854;439172;SCHIEL;Schieland;3;;M14;;;;;Water;OVERIG;;;Rotterdam;;;;Toevoerkanaal;Rotterdam;;;Overige watergang;1;;;25;2,65;NL39_08a;Kralingse Plas;M14;
KP-10-SK12;Kralingse Plas 2010 traject 12 - stortkuil;95441;439067;SCHIEL;Schieland;3;;M14;;;;;Water;OVERIG;;;Rotterdam;;;;;Rotterdam;;;Overige watergang;1;;;3;0,6;NL39_08a;Kralingse Plas;M14;
KP-10-SK13;Kralingse Plas 2010 traject 13 - stortkuil;94882;439320;SCHIEL;Schieland;3;;M14;;;;;Water;OVERIG;;;Rotterdam;;;;;Rotterdam;;;Overige watergang;1;;;9;0,8;NL39_08a;Kralingse Plas;M14;
KP-10-SK18;Kralingse Plas 2010 traject 18 - stortkuil;94982;439411;SCHIEL;Schieland;3;;M14;;;;;Water;OVERIG;;;Rotterdam;;;;;Rotterdam;;;Overige watergang;1;;;9;0,8;NL39_08a;Kralingse Plas;M14;
