mp;mpomsch;X;Y;gebied;gebiednaam;meetnet;opmerking;krw_type;<>;Basis-jaarlijks;Beginjaar;Bestrijdingsmiddelen;Bodemtype (detail);Bodemtype (grof);Ecokleurenkoers;Fysisch-chemisch;Gemeente;KRW-biologie;Landgebruik 2015;Meetpuntsoort;Naam water;Plaatsnaam;Publicatie op internet 1;Quickscan-vegetatie;Type watergang;Vistrajecten;Vlakdekkende vegetatieopnamen;Waterbreedte in m (in het veld geschat);Waterbreedte in m (legger);Waterdiepte in m (legger);Waterlichaamcode;Waterlichaamnaam;Watertype waterlichaam;Zwemwater
00034;BERGSE ACHTERPLAS zuid deel midden thv Adriana St;92566;440563;SCHIEL;Schieland;1;varen botenhelling Ringdijk, sleutel;M27;;1;1987;;Water;OVERIG;Groen;1;Rotterdam;;Plassen;Regulier;;Rotterdam;1;;Overige watergang;;;;13;0,9;NL39_07a;Bergse Plassen;M27;
00035;Vijver Lage Bergse Bos noordzijde bos Hoekse Hout;95151;443030;SCHIEL;Schieland;3;;M30;;;1988;;Bebouwing;STEDELIJK;Groen;;Lansingerland;;Recreatie;Regulier;;Bergschenhoek;;;Overige watergang;;;;16;1,5;NL39_05a;Lage Bergse Bos;M30;
00036;RINGVAART ZPP thv 2eMoordrechtse Tiendeweg va brug;106697;446564;SCHIEL;Schieland;1;;M10;;1;1989;;Veraarde bovengrond op diep veen;VEEN;Blauw;1;Gouda;;Boezem;Regulier;Ringvaart Zuidplaspolder;Gouda;1;;Boezem;;;15;26,6;2,05;NL39_03a;Ringvaart;M10;
00037;RINGVAART ZPP va brug Apollolaan Waddinxveen;104756;449533;SCHIEL;Schieland;1;;M10;;;1989;;Veraarde bovengrond op diep veen;VEEN;Groen;1;Waddinxveen;;Boezem;Regulier;Ringvaart Zuidplaspolder;Waddinxveen;1;;Overige watergang;;;;20,6;1,5;;;;
00038;RINGVAART PPA va brug Bermweg 474 Capelle;100108;439566;SCHIEL;Schieland;1;;M10;;1;1989;;Veraarde bovengrond op diep veen;VEEN;Groen;1;Capelle aan den Ijssel;;Boezem;Regulier;Ringvaart Polder Pr. Alexander;Capelle aan den IJssel;1;;Boezem;;;;17,5;1,5;NL39_03a;Ringvaart;M10;
00039;Zevenhuizerplas, op 8m diepte van monsterp. 00040;98332;443703;SCHIEL;Schieland;3;;M20;;;1999;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Plassen;Regulier;;Rotterdam;;;Overige watergang;;;;5;0,8;NL39_04a;Zevenhuizerplas;M20;
00040;ZEVENHUIZERPLAS I midden op plas;98332;443703;SCHIEL;Schieland;1;varen botenhelling Strandweg;M20;;1;1989;;Veen op ongerijpte klei;VEEN;Groen;1;Rotterdam;;Plassen;Regulier;;Rotterdam;1;;Overige watergang;;;;5;0,8;NL39_04a;Zevenhuizerplas;M20;
00040-1;ZEVENHUIZERPLAS I midden op plas, op 1m diepte;98332;443703;SCHIEL;Schieland;2;afwijkende diepte;M20;;;2012;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Diepteprofiel;;Rotterdam;;;Overige watergang;;;;5;0,8;NL39_04a;Zevenhuizerplas;M20;
00040-10;ZEVENHUIZERPLAS I midden op plas, op 10m diepte;98332;443703;SCHIEL;Schieland;2;afwijkende diepte;M20;;;2012;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Diepteprofiel;;Rotterdam;;;Overige watergang;;;;5;0,8;NL39_04a;Zevenhuizerplas;M20;
00040-11;ZEVENHUIZERPLAS I midden op plas, op 11m diepte;98332;443703;SCHIEL;Schieland;2;afwijkende diepte;M20;;;2012;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Diepteprofiel;;Rotterdam;;;Overige watergang;;;;5;0,8;NL39_04a;Zevenhuizerplas;M20;
00040-12;ZEVENHUIZERPLAS I midden op plas, op 12m diepte;98332;443703;SCHIEL;Schieland;2;afwijkende diepte;M20;;;2012;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Diepteprofiel;;Rotterdam;;;Overige watergang;;;;5;0,8;NL39_04a;Zevenhuizerplas;M20;
00040-13;ZEVENHUIZERPLAS I midden op plas, op 13m diepte;98332;443703;SCHIEL;Schieland;2;afwijkende diepte;M20;;;2012;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Diepteprofiel;;Rotterdam;;;Overige watergang;;;;5;0,8;NL39_04a;Zevenhuizerplas;M20;
00040-14;ZEVENHUIZERPLAS I midden op plas, op 14m diepte;98332;443703;SCHIEL;Schieland;2;afwijkende diepte;M20;;;2012;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Diepteprofiel;;Rotterdam;;;Overige watergang;;;;5;0,8;NL39_04a;Zevenhuizerplas;M20;
00040-15;ZEVENHUIZERPLAS I midden op plas, op 15m diepte;98332;443703;SCHIEL;Schieland;1;afwijkende diepte;M20;;;2012;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Plassen;Diepteprofiel;;Rotterdam;;;Overige watergang;;;;5;0,8;NL39_04a;Zevenhuizerplas;M20;
00040-16;ZEVENHUIZERPLAS I midden op plas, op 16m diepte;98332;443703;SCHIEL;Schieland;2;afwijkende diepte;M20;;;2012;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Diepteprofiel;;Rotterdam;;;Overige watergang;;;;5;0,8;NL39_04a;Zevenhuizerplas;M20;
00040-2;ZEVENHUIZERPLAS I midden op plas, op 2m diepte;98332;443703;SCHIEL;Schieland;2;afwijkende diepte;M20;;;2012;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Diepteprofiel;;Rotterdam;;;Overige watergang;;;;5;0,8;NL39_04a;Zevenhuizerplas;M20;
00040-3;ZEVENHUIZERPLAS I midden op plas, op 3m diepte;98332;443703;SCHIEL;Schieland;2;afwijkende diepte;M20;;;2012;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Diepteprofiel;;Rotterdam;;;Overige watergang;;;;5;0,8;NL39_04a;Zevenhuizerplas;M20;
00040-4;ZEVENHUIZERPLAS I midden op plas, op 4m diepte;98332;443703;SCHIEL;Schieland;2;afwijkende diepte;M20;;;2012;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Diepteprofiel;;Rotterdam;;;Overige watergang;;;;5;0,8;NL39_04a;Zevenhuizerplas;M20;
00040-5;ZEVENHUIZERPLAS I midden op plas, op 5m diepte;98332;443703;SCHIEL;Schieland;2;afwijkende diepte;M20;;;2012;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Diepteprofiel;;Rotterdam;;;Overige watergang;;;;5;0,8;NL39_04a;Zevenhuizerplas;M20;
00040-6;ZEVENHUIZERPLAS I midden op plas, op 6m diepte;98332;443703;SCHIEL;Schieland;2;afwijkende diepte;M20;;;2012;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Diepteprofiel;;Rotterdam;;;Overige watergang;;;;5;0,8;NL39_04a;Zevenhuizerplas;M20;
00040-7;ZEVENHUIZERPLAS I midden op plas, op 7m diepte;98332;443703;SCHIEL;Schieland;2;afwijkende diepte;M20;;;2012;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Diepteprofiel;;Rotterdam;;;Overige watergang;;;;5;0,8;NL39_04a;Zevenhuizerplas;M20;
00040-8;ZEVENHUIZERPLAS I midden op plas, op 8m diepte;98332;443703;SCHIEL;Schieland;2;afwijkende diepte;M20;;;2012;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Diepteprofiel;;Rotterdam;;;Overige watergang;;;;5;0,8;NL39_04a;Zevenhuizerplas;M20;
00040-9;ZEVENHUIZERPLAS I midden op plas, op 9m diepte;98332;443703;SCHIEL;Schieland;2;afwijkende diepte;M20;;;2012;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Diepteprofiel;;Rotterdam;;;Overige watergang;;;;5;0,8;NL39_04a;Zevenhuizerplas;M20;
00041;SINGEL HOGE BERGSE BOS O v Hoeksekade Bhoek;96115;443376;SCHIEL;Schieland;1;;M27;;;1995;;Veen op ongerijpte klei;VEEN;Groen;1;Lansingerland;;Recreatie;Regulier;;Bergschenhoek;1;;Overige watergang;;;;10;1;NL39_24a;Hoge Bergse Bos;M27;
00042;BINNEN ROTTE L-Rottekade v steiger H de Keyserstr;93108;438597;SCHIEL;Schieland;1;;M03;;1;1995;;Bebouwing;STEDELIJK;Groen;1;Rotterdam;;Boezem;Regulier;Binnenrotte;Rotterdam;1;;Boezem;;;;23;1;NL39_01a;Rotteboezem;M3;
